"Warehouse Id","SKU","Title","Listing Id","FSN","Brand","Flipkart Selling Price","Live on Website","Sales 7D","Sales 14D","Sales 30D","Sales 60D","Sales 90D","B2B Scheduled","Transfers Scheduled","B2B Shipped","Transfers Shipped","B2B Receiving","Transfers Receiving","Reserved for Orders and Recalls","Reserved for Internal Processing","Returns Processing","Orders to Dispatch","Recalls to Dispatch","Damaged","QC Reject","Catalog Reject","Returns Reject","Seller Return Reject","Miscellaneous","Length (in cm)","Breadth (in cm)","Height (in cm)","Weight (in kg)","Fulfilment Type","F Assured Badge"
chn_tvr_04,PHD-SAAG1,Proven Honest Derma /PHD/ Salicylic Acid Acne Gel for Pimples & Dark Spots,LSTKMTHGKYHGDB6KJV4GYWNDT,KMTHGKYHGDB6KJV4,Proven Honest Derma,444.0,0,1,4,11,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.875258,6.1889639999999995,3.6934139999999998,0.069,"Smart/Flipkart, Seller",Yes
jai_san_wh_nl_01nl,PGATT-ADS400,Pilgrim Australian Tea Tree Non-Drying Anti-Dandruff Shampoo for Itchy Scalp,LSTSMPHJZH5H33V5ZQE7SAPO7,SMPHJZH5H33V5ZQE,Pilgrim,450.0,0,1,3,14,212,212,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.062441999999997,6.3886080000000005,5.889498000000001,0.43,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,PGMU-CPCN1,Pilgrim Natural Matte Compact,LSTCMPGVYFFWYVBXGYYGNFYP6,CMPGVYFFWYVBXGYY,Pilgrim,436.0,0,2,5,38,45,45,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.385048000000001,8.584692,3.294126,0.073,Seller,Yes
malur_bts,PGMU-GP1,Pilgrim Instant Glow primer with Gold Shimmer|Long Lasting|Matte Finish Primer  - 30 ml,LSTPRMGUU62WH5P2V9YNLJ38Q,PRMGUU62WH5P2V9Y,Pilgrim,370.0,0,1,21,41,71,96,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.577572000000002,5.290566,4.392168,0.088,"Smart/Flipkart, Seller",Yes
chn_tvr_04,PHD-CHC1,Proven Honest Derma Ceramide Hydrating Cleanser with Hyaluronic Acid | Cleanser for daily use Face Wash,LSTFCWHDWUGTB7G5GDRIR3OU1,FCWHDWUGTB7G5GDR,Proven Honest Derma,283.0,0,5,13,30,57,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.570452,6.588252,1.9964400000000002,0.096,"Smart/Flipkart, Seller",Yes
jai_san_wh_nl_01nl,PGASC,Pilgrim Patua & Keratin Smoothing Conditioner with Sacha Inchi for Silky|Frizz-Free Hair,LSTCNDGK7UYZGYC9PAQQB0T9Z,CNDGK7UYZGYC9PAQ,Pilgrim,279.0,0,1,1,24,45,83,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.066002,6.8877180000000005,4.092702,0.176,Smart/Flipkart,Yes
bhi_vas_wh_nl_01nl,PGMU-GLTK1,Pilgrim Glitter Lipstick Luxurious 3-D Glitter Formula With Matte Finish,LSTLSKH6XGSZGMAPEZMBZX2T9,LSKH6XGSZGMAPEZM,Pilgrim,580.0,0,3,4,73,97,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.882378,4.392168,2.5953720000000002,0.016,"Smart/Flipkart, Seller",Yes
cbe_oth_01,PHD-PHGS1,Proven Honest Derma Sunscreen - SPF 60 PA++++ PHD Panthenol Gel Sunscreen SPF 60 PA++++ |Hydrating & Lightweight,LSTSNRHKUK6BUSQPUQFOUAKJT,SNRHKUK6BUSQPUQF,Proven Honest Derma,565.0,0,5,5,5,5,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.574012,5.689854,3.1943040000000003,0.07,"Smart/Flipkart, Seller",Yes
hyderabad_medchal_01,PGATT-NOM1,Pilgrim Tea Tree Non Oily Moisturizer with Hyaluronic Acid & CICA for Acne Skin,LSTMSCGHGWGGDRV37AM76WZOR,MSCGHGWGGDRV37AM,Pilgrim,219.0,0,1,8,23,53,82,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.775436000000001,6.787896,3.1943040000000003,0.082,"Smart/Flipkart, Seller",Yes
cbe_oth_01,PGSL-VCTLB1,Pilgrim Vitamin C Tinted Lip Balm with Spanish Squalane Strawberry,LSTLPBHHYDK8HZ2Y3GMBFVWOD,LPBHHYDK8HZ2Y3GM,Pilgrim,196.0,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.477749999999999,7.3868279999999995,2.5953720000000002,0.019,"Smart/Flipkart, Seller",Yes
ahm_khe_wh_nl_01nl,PGSL-SRAHS1,Pilgrim Spanish Rosemary Biotin Shampoo for Men & Women|Reduce Hair loss & Breakage,LSTSMPGSQHUWRXGQ8YNN3DVVQ,SMPGSQHUWRXGQ8YN,Pilgrim,260.0,0,0,0,0,0,41,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.069562,8.98398,5.590032,0.185,"Smart/Flipkart, Seller",Yes
hyderabad_medchal_01,PGK-HGGFW1,Pilgrim Korean Rice Water Hydra Glow Gel  with 2% Niacinamide & Hyaluronic Acid Face Wash,LSTFCWHHCZ4ZFPGUHNWJAGPTI,FCWHHCZ4ZFPGUHNW,Pilgrim,196.0,0,7,12,102,194,194,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.272766,5.49021,1.696974,0.088,"Smart/Flipkart, Seller",Yes
cbe_oth_01,PGASS400,Pilgrim Patua Smoothening Shampoo For Dry & Frizzy Hair|Men & Women,LSTSMPHHNKWKCZXZHYYBMRZXN,SMPHHNKWKCZXZHYY,Pilgrim,470.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.062441999999997,5.789676,5.390388,0.441,"Smart/Flipkart, Seller",Yes
cbe_oth_01,PGATT-ADS400,Pilgrim Australian Tea Tree Non-Drying Anti-Dandruff Shampoo for Itchy Scalp,LSTSMPHJZH5H33V5ZQE7SAPO7,SMPHJZH5H33V5ZQE,Pilgrim,450.0,0,2,2,2,2,2,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.062441999999997,6.3886080000000005,5.889498000000001,0.43,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,PGK-CMGS50,Pilgrim Sunscreen - SPF 50+ PA++++ Korean Aloe Cooling Matte Lightweight Gel Sunscreen For Men With Niacinamide,LSTSNRHKMPRGDAZ685BK8IKBE,SNRHKMPRGDAZ685B,Pilgrim,260.0,0,90,110,110,110,110,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.577572000000002,4.49199,2.395728,0.025,Seller,Yes
hyderabad_medchal_01,PGK-CMGS50,Pilgrim Sunscreen - SPF 50+ PA++++ Korean Aloe Cooling Matte Lightweight Gel Sunscreen For Men With Niacinamide,LSTSNRHKMPRGDAZ685BK8IKBE,SNRHKMPRGDAZ685B,Pilgrim,260.0,0,1,7,7,7,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.577572000000002,4.49199,2.395728,0.025,Seller,Yes
nag_wad_wh_nl_02nl,PGKFW1,"Pilgrim Volcanic Lava Ash  Cleanser | with Yugdugu & White Lotus | Korean K-Beauty | Gentle, Non Foaming & Sulfate Free | Unclog Pores | Fights Pollution & Acne | All Skin | Unisex Face Wash",LSTFCWFZQQ6MNPFSUFPYZBNOV,FCWFZQQ6MNPFSUFP,Pilgrim,315.0,0,1,2,5,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.276326,5.390388,4.092702,0.09,Smart/Flipkart,Yes
cbe_oth_01,PGA-10VCFS30,Pilgrim 10% Vitamin C Face Serum for Oily Skin|Men & Women|Skin Brightening,LSTFRNHFCJMEHZHHRQJETMNPY,FRNHFCJMEHZHHRQJ,Pilgrim,516.0,0,0,1,1,10,506,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.780776,5.689854,5.390388,0.09,"Smart/Flipkart, Seller",Yes
jai_san_wh_nl_01nl,PGVNGC1,"Pilgrim Anti Ageing Red Vine Night Creme Gel For Glowing Skin, Skin Repair, Dry, Oily, Sensitive Skin, Men & Women, 50g",LSTMSCGFYFCT4PZ9AZ9BMPNAU,MSCGFYFCT4PZ9AZ9,Pilgrim,468.0,0,1,4,10,21,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.285226,8.285226,6.3886080000000005,0.095,Smart/Flipkart,Yes
nag_wad_wh_nl_02nl,PGS-NGSS50,Pilgrim Sunscreen - SPF 50 PA+++ Niacinamide Glow Sunscreen with UVA/UVB Protection For Men and Women,LSTSNRGYKD43RGXGQTKO0AMJO,SNRGYKD43RGXGQTK,Pilgrim,380.0,0,3,3,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.076682,5.789676,3.7932360000000003,1.012,"Smart/Flipkart, Seller",Yes
nag_wad_wh_nl_02nl,SAM-VFC8G,Pilgrim French Mini Red Vine Youthful Glow Moisturizer SPF 30 | Anti-Ageing & Hydrating,LSTKMTHFKT9XMGR9QSRNFFCIT,KMTHFKT9XMGR9QSR,Pilgrim,49.0,0,14,14,92,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8877180000000005,5.290566,3.0944819999999997,0.026,Smart/Flipkart,Yes
nag_wad_wh_nl_02nl,PGSGMOISTURIZER1,Pilgrim Squalane Vitamin C Moisturizer for Dry & Glowing Skin for Men & Women,LSTFRNGCF63XGE2KGEHIXXZMN,FRNGCF63XGE2KGEH,Pilgrim,357.0,0,6,6,22,54,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.584692,8.784336,5.090922000000001,0.047,Smart/Flipkart,Yes
hyderabad_medchal_01,PGSL-VCTLB1,Pilgrim Vitamin C Tinted Lip Balm with Spanish Squalane Strawberry,LSTLPBHHYDK8HZ2Y3GMBFVWOD,LPBHHYDK8HZ2Y3GM,Pilgrim,196.0,0,5,6,6,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12.477749999999999,7.3868279999999995,2.5953720000000002,0.019,"Smart/Flipkart, Seller",Yes
cbe_oth_01,PGA-VCBLGS60,"Pilgrim Sunscreen - SPF 50+ PA++++ 5% Vitamin C Complex Brightening Serum Sunscreen, In-Vivo Tested | Non Sticky",LSTSNRH89D3MFAMYNXU5VUXG8,SNRH89D3MFAMYNXU,Pilgrim,396.0,0,0,13,13,13,18,71,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15.172944000000001,4.9911,4.392168,0.075,"Smart/Flipkart, Seller",Yes
nag_wad_wh_nl_02nl,PGA-VCBLGS60,"Pilgrim Sunscreen - SPF 50+ PA++++ 5% Vitamin C Complex Brightening Serum Sunscreen, In-Vivo Tested | Non Sticky",LSTSNRH89D3MFAMYNXU5VUXG8,SNRH89D3MFAMYNXU,Pilgrim,396.0,0,90,90,90,144,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.172944000000001,4.9911,4.392168,0.075,"Smart/Flipkart, Seller",Yes
nag_wad_wh_nl_02nl,PGK-CMGS50,Pilgrim Sunscreen - SPF 50+ PA++++ Korean Aloe Cooling Matte Lightweight Gel Sunscreen For Men With Niacinamide,LSTSNRHKMPRGDAZ685BK8IKBE,SNRHKMPRGDAZ685B,Pilgrim,260.0,0,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.577572000000002,4.49199,2.395728,0.025,Seller,Yes
nag_wad_wh_nl_02nl,PGA-15VCF10,Pilgrim 15% Vitamin C Face Serum with Kakadu Plum|Brightens Skin|Men & Women,LSTKMTHE28VVNXYBZ2NDDLTNF,KMTHE28VVNXYBZ2N,Pilgrim,256.0,0,1,1,1,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.383268,5.889498000000001,2.795016,0.041,"Smart/Flipkart, Seller",Yes
ahm_khe_wh_nl_01nl,PGA-10VCFS30,Pilgrim 10% Vitamin C Face Serum for Oily Skin|Men & Women|Skin Brightening,LSTFRNHFCJMEHZHHRQJETMNPY,FRNHFCJMEHZHHRQJ,Pilgrim,516.0,0,0,0,0,0,310,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.780776,5.689854,5.390388,0.09,"Smart/Flipkart, Seller",Yes
malur_bts,PGKS-AHGSRO1,Pilgrim Advanced Hair Growth Serum Roll-On With Rosemary & Korean Rice For Men & Women,LSTHSMHHCXJBFCGSM5RQ8LNYS,HSMHHCXJBFCGSM5R,Pilgrim,517.0,0,108,287,829,835,885,21287,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.47597,5.49021,2.5953720000000002,0.069,"Smart/Flipkart, Seller",Yes
chn_tvr_04,PGKFMT-1,Pilgrim White Lotus Face Mist & Toner for Hydration & Pore Tightening Men & Women,LSTTNRFZQPKYFPAYS7AY1ZWM7,TNRFZQPKYFPAYS7A,Pilgrim,230.0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.873477999999999,5.290566,3.7932360000000003,0.073,"Smart/Flipkart, Seller",Yes
nag_wad_wh_nl_02nl,PGATT-ADS400,Pilgrim Australian Tea Tree Non-Drying Anti-Dandruff Shampoo for Itchy Scalp,LSTSMPHJZH5H33V5ZQE7SAPO7,SMPHJZH5H33V5ZQE,Pilgrim,450.0,0,12,12,14,67,67,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.062441999999997,6.3886080000000005,5.889498000000001,0.43,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,PGASC,Pilgrim Patua & Keratin Smoothing Conditioner with Sacha Inchi for Silky|Frizz-Free Hair,LSTCNDGK7UYZGYC9PAQQB0T9Z,CNDGK7UYZGYC9PAQ,Pilgrim,279.0,0,10,41,315,835,1437,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19.066002,6.8877180000000005,4.092702,0.176,Smart/Flipkart,Yes
ahm_khe_wh_nl_01nl,PGK-HGM50,Pilgrim Korean Rice Water Hydra Glow Moisturizer|Light Gel & Instant Glass Skin Glow,LSTMSCHBV8NZQS6GC9JBDN15P,MSCHBV8NZQS6GC9J,Pilgrim,220.0,0,0,0,0,0,191,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.085582,7.686294,4.891278,0.072,"Smart/Flipkart, Seller",Yes
malur_bts,PGATT-NOM1,Pilgrim Tea Tree Non Oily Moisturizer with Hyaluronic Acid & CICA for Acne Skin,LSTMSCGHGWGGDRV37AM76WZOR,MSCGHGWGGDRV37AM,Pilgrim,219.0,0,32,207,685,1202,1483,736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13.775436000000001,6.787896,3.1943040000000003,0.082,"Smart/Flipkart, Seller",Yes
ahm_khe_wh_nl_01nl,PGK-5CBRM1,Pilgrim 5 Ceramides Moisturizer with CICA for Barrier Repair & Hydration,LSTMSCH5NF4UNTJFMSFDTINKQ,MSCH5NF4UNTJFMSF,Pilgrim,308.0,0,0,1,4,29,85,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.372588,6.787896,3.294126,0.097,Smart/Flipkart,Yes
chn_tvr_04,PGK-HGGFW1,Pilgrim Korean Rice Water Hydra Glow Gel  with 2% Niacinamide & Hyaluronic Acid Face Wash,LSTFCWHHCZ4ZFPGUHNWJAGPTI,FCWHHCZ4ZFPGUHNW,Pilgrim,196.0,0,0,0,9,18,18,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.272766,5.49021,1.696974,0.088,"Smart/Flipkart, Seller",Yes
jai_san_wh_nl_01nl,PGSL-SRHGO1,Pilgrim Spanish Rosemary & Biotin Hair Oil For Strengthening & Hair Growth Hair Oil,LSTHOLGSQN4MZ9ZH62UB2FP2D,HOLGSQN4MZ9ZH62U,Pilgrim,255.0,0,25,41,73,138,193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.873477999999999,7.786116,4.192524000000001,0.118,Smart/Flipkart,Yes
bhi_vas_wh_nl_01nl,PGVNGC1,"Pilgrim Anti Ageing Red Vine Night Creme Gel For Glowing Skin, Skin Repair, Dry, Oily, Sensitive Skin, Men & Women, 50g",LSTMSCGFYFCT4PZ9AZ9BMPNAU,MSCGFYFCT4PZ9AZ9,Pilgrim,468.0,0,18,79,198,319,469,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8.285226,8.285226,6.3886080000000005,0.095,Smart/Flipkart,Yes
ulub_bts,PGKS - RAAHGS1,Pilgrim Advanced Hair Growth Serum With Rosemary & Korean Black Rice For Men & Women,LSTHSMHY65YAADTXFVGS3ZPHB,HSMHY65YAADTXFVG,Pilgrim,1330.0,0,1,3,55,180,304,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.372588,5.390388,4.49199,0.089,Seller,Yes
hyderabad_medchal_01,PGASS650,Pilgrim Patua Smoothening Shampoo For Dry & Frizzy Hair|Men & Women,LSTSMPHHNK3NU7SSZV99DMXLG,SMPHHNK3NU7SSZV9,Pilgrim,691.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.358348,9.782556,5.98932,0.765,"Smart/Flipkart, Seller",Yes
hyderabad_medchal_01,PGK-NOSLGS50,"Pilgrim Sunscreen - SPF 50+ PA++++ 5% Niacinamide Hydra Glow Gel Sunscreen, In-Vivo Tested | Non Sticky Lightweight",LSTSNRH89DJTAWYEBQU4DFHJF,SNRH89DJTAWYEBQU,Pilgrim,396.0,0,5,19,155,162,162,150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.97686,5.98932,3.1943040000000003,0.034,"Smart/Flipkart, Seller",Yes
nag_wad_wh_nl_02nl,PGKS-RAAHGSDPS1,Pilgrim Advanced Hair Growth Serum For Dandruff Prone Scalp For Both Men & Women,LSTHTTH5FY8KVNZ3QRZLG8RRK,HTTH5FY8KVNZ3QRZ,Pilgrim,445.0,0,0,0,2,56,85,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.180064,5.49021,5.789676,0.1,Smart/Flipkart,Yes
ahm_khe_wh_nl_01nl,PGK-10NFS10,Pilgrim 10% Niacinamide Face Serum for Men and Women|Reduce Acne Mark|Bright Skin,LSTFRNHFCGKWWJVP25XEVYFXJ,FRNHFCGKWWJVP25X,Pilgrim,181.0,0,0,0,0,0,199,80,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10.381488000000001,8.385048000000001,3.593592,0.028,Smart/Flipkart,Yes
ahm_khe_wh_nl_01nl,PGK-DRS200,Pilgrim Korean Rice Water & Collagen Advanced Damage Repair Shampoo|Hair Fall Control,LSTSMPHBKJW6NDVV9HGXAJVMT,SMPHBKJW6NDVV9HG,Pilgrim,260.0,0,1,41,41,41,393,97,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.777216000000001,5.1907440000000005,5.290566,0.196,Smart/Flipkart,Yes
ahm_khe_wh_nl_01nl,PGK-HGM100,Pilgrim Korean Rice Water Hydra Glow Moisturizer|Light Gel & Instant Glass Skin Glow,LSTMSCHBV8NDXMBG8ZYW9J2N5,MSCHBV8NDXMBG8ZY,Pilgrim,277.0,0,4,30,457,755,1580,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8.784336,8.684514,7.786116,0.225,"Smart/Flipkart, Seller",Yes
ahm_khe_wh_nl_01nl,PGGTM-RAHCS1,Pilgrim Redensyl & Anagain Hairfall Control Shampoo for all hair types,LSTSMPGXNF4CSPY3SF7QRY0UE,SMPGXNF4CSPY3SF7,Pilgrim,276.0,0,0,6,6,6,104,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.9644,5.1907440000000005,4.49199,0.222,"Smart/Flipkart, Seller",Yes
hyderabad_medchal_01,PGSL-RWB200,Pilgrim Korean Black Rice and Rosemary Water Spray For All Hair Types Hair Spray,LSTHSYHHNN2HJBTTCAZKONS7X,HSYHHNN2HJBTTCAZ,Pilgrim,242.0,0,1,1,1,1,1,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.563332000000003,4.49199,4.49199,0.214,"Smart/Flipkart, Seller",Yes
ulub_bts,PGATT-NOM1,Pilgrim Tea Tree Non Oily Moisturizer with Hyaluronic Acid & CICA for Acne Skin,LSTMSCGHGWGGDRV37AM76WZOR,MSCGHGWGGDRV37AM,Pilgrim,219.0,0,7,113,346,1183,1293,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.775436000000001,6.787896,3.1943040000000003,0.082,"Smart/Flipkart, Seller",Yes
